"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta1[48]",2033.4635146225,1951.115,1786.06544410151,11239.5,0.95,646.17,3814.34,NA,NA,NA,NA,NA,NA,NA
"beta1[49]",1561.6402092998,1632.93,1721.62137030117,12550.5,0.95,-125.932,3072.73,NA,NA,NA,NA,NA,NA,NA
"beta1[50]",1669.6652681672,1710.515,1732.05025949497,15488.1,0.95,1.13963,3295.66,NA,NA,NA,NA,NA,NA,NA
"beta1[51]",1562.28191549765,1636.375,1707.31985295041,9909.4,0.95,-264.183,3025.58,NA,NA,NA,NA,NA,NA,NA
"beta1[52]",2195.5592134895,2066.375,1872.28626892987,8363.9,0.95,688.598,4028.14,NA,NA,NA,NA,NA,NA,NA
"beta0mu",58954.70641,58961.05,59022.5843781005,11975.1,0.95,54729.2,63369.9,NA,NA,NA,NA,NA,NA,NA
"beta1mu",1773.35872875,1772.92,1740.53591943922,6748,0.95,1221.73,2325.14,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",-0.6587718549405,-0.658257,-0.65110623925314,20000,0.95,-1.04743,-0.259902,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",1.0804418898,1.080635,1.08645369847038,20718.4,0.95,0.698259,1.48123,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.369512160688845,-0.3703725,-0.385117445143321,18395.6,0.95,-0.754225,0.026759,NA,NA,NA,NA,NA,NA,NA
"zbeta0[4]",-1.11656045585,-1.118015,-1.13470621981622,20000,0.95,-1.4949,-0.72475,NA,NA,NA,NA,NA,NA,NA
"zbeta0[5]",0.248211433810765,0.248845,0.24810630361312,21036.8,0.95,-0.132843,0.628957,NA,NA,NA,NA,NA,NA,NA
"zbeta0[6]",0.382446742472555,0.381229,0.345682443857587,20000,0.95,-0.000321216,0.761338,NA,NA,NA,NA,NA,NA,NA
"zbeta0[7]",1.5095210031,1.51127,1.54273507334851,20000,0.95,1.07374,1.95455,NA,NA,NA,NA,NA,NA,NA
"zbeta0[8]",0.542362682446475,0.5422315,0.548909686446007,19548.6,0.95,0.115761,0.970379,NA,NA,NA,NA,NA,NA,NA
"zbeta0[9]",-0.21554746060663,-0.2184045,-0.216151535224774,17516,0.95,-0.713988,0.331629,NA,NA,NA,NA,NA,NA,NA
"zbeta0[10]",-0.262097004771039,-0.2629135,-0.26365118271503,20000,0.95,-0.633509,0.127003,NA,NA,NA,NA,NA,NA,NA
"zbeta0[11]",-0.30614570421699,-0.306888,-0.304250982313624,20000,0.95,-0.681864,0.0803897,NA,NA,NA,NA,NA,NA,NA
"zbeta0[12]",1.27135346845,1.2711,1.26559175466756,19085.6,0.95,0.829672,1.697,NA,NA,NA,NA,NA,NA,NA
"zbeta0[13]",-0.6180982601175,-0.619806,-0.640399432753969,20860.5,0.95,-0.987676,-0.245136,NA,NA,NA,NA,NA,NA,NA
"zbeta0[14]",0.36853081375625,0.3686645,0.343549800223782,19455.6,0.95,-0.0328004,0.751218,NA,NA,NA,NA,NA,NA,NA
"zbeta0[15]",-0.20008744888279,-0.199172,-0.177262581865724,19522.9,0.95,-0.567109,0.200005,NA,NA,NA,NA,NA,NA,NA
"zbeta0[16]",-0.167975362328665,-0.1704915,-0.190815287729366,20000,0.95,-0.549641,0.258495,NA,NA,NA,NA,NA,NA,NA
"zbeta0[17]",-0.156253304789935,-0.15552,-0.150055880737627,20000,0.95,-0.551059,0.228947,NA,NA,NA,NA,NA,NA,NA
"zbeta0[18]",-0.617967294158,-0.6190365,-0.58506844088239,19017.2,0.95,-0.996832,-0.230493,NA,NA,NA,NA,NA,NA,NA
"zbeta0[19]",-0.608521798613145,-0.609543,-0.609038031114793,18292.9,0.95,-0.993032,-0.21168,NA,NA,NA,NA,NA,NA,NA
"zbeta0[20]",-0.169249837923415,-0.170412,-0.175530512953483,20000,0.95,-0.563868,0.209405,NA,NA,NA,NA,NA,NA,NA
"zbeta0[21]",1.5727981728,1.57478,1.58721781238962,20000,0.95,1.16177,1.96471,NA,NA,NA,NA,NA,NA,NA
"zbeta0[22]",1.72178879065,1.72488,1.74857715368058,19539,0.95,1.29963,2.16646,NA,NA,NA,NA,NA,NA,NA
"zbeta0[23]",-0.17413592584083,-0.17614,-0.193520549226414,20000,0.95,-0.578402,0.239889,NA,NA,NA,NA,NA,NA,NA
"zbeta0[24]",0.6364904442205,0.6385875,0.639891738017809,20000,0.95,0.213808,1.05875,NA,NA,NA,NA,NA,NA,NA
"zbeta0[25]",-1.214984072,-1.215635,-1.2230711823838,20000,0.95,-1.6061,-0.815246,NA,NA,NA,NA,NA,NA,NA
"zbeta0[26]",-0.228246475640178,-0.227035,-0.220278930224987,20000,0.95,-0.615663,0.159207,NA,NA,NA,NA,NA,NA,NA
"zbeta0[27]",-0.39734650087255,-0.3970565,-0.403052490794362,19330.1,0.95,-0.779772,-0.0225861,NA,NA,NA,NA,NA,NA,NA
"zbeta0[28]",-0.01922786482229,-0.0187053,-0.00120339371483946,22275,0.95,-0.398047,0.357547,NA,NA,NA,NA,NA,NA,NA
"zbeta0[29]",0.127536501753435,0.1277345,0.124422689253354,20761.7,0.95,-0.261935,0.507148,NA,NA,NA,NA,NA,NA,NA
"zbeta0[30]",1.26776253455,1.26909,1.26001085559323,20000,0.95,0.832163,1.66336,NA,NA,NA,NA,NA,NA,NA
